Country,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,"Air, Water, and Sanitation",Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Ecosystem Sustainability,Personal Rights,Access to Higher Education,Personal Freedom and Choice,Equity and Inclusion,Undernourishment,Depth of food deficit,Maternal mortality rate,Stillbirth rate,Child mortality rate,Prevalence of tuberculosis,Indoor air pollution attributable deaths,Outdoor air pollution attributable deaths,Access to piped water,Rural/urban access to improved water source,Access to improved sanitation facilities,Access to wastewater treatment,Satisfaction with housing,Access to electricity,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Mobile telephone subscriptions,Internet users,Fixed broadband subscriptions,Press Freedom Index,Adult literacy rate,Primary school enrollment,Secondary school enrollment,Women's mean years in school,Obesity ,Cancer death rate,Deaths from cardiovascular disease and diabetes,Deaths from HIV,Ecological Footprint of Consumption,CO2 emissions per capita,"Energy use per $1,000 GDP",Water withdrawals per capita,Political rights,Freedom of speech,Freedom of assembly/association,Private property rights,Women's property rights,Tertiary school enrollment,Female tertiary enrollment,Basic religious freedoms,Contraceptive prevalence rate,Access to childcare,Freedom over life choices,Equity of opportunity for ethnic minorities,Women treated with respect,Community safety net,Tolerance for immigrants,Tolerance for homosexuals,Life expectancy,Availability of quality healthcare
China,47.92,52.95,48.21,42.59,53.44,47.44,63.86,47.08,49.8,40.84,54.17,48.04,30.36,43.25,60.66,36.1,50.07,49.55,55.48,52.49,54.24,51.64,41.57,34.34,50.55,49.48,44.67,47.21,60.18,56.55,59.95,56.09,38.56,39.02,40.96,47.97,50.64,32.87,54.51,58.41,42.17,46.9,61.01,37.18,50.87,58.97,54.53,48.37,38.51,52.63,28.75,37.76,36.7,36.93,51.21,44.63,44.62,47.39,61.89,59.87,54.17,52.33,63.85,45.99,33.72,42.15,51.55,53.14
Colombia,50.52,45.43,50.51,55.63,53.52,47.47,52.65,28.07,49.43,44.61,49.06,58.95,50.06,51.2,56.34,64.93,48.99,48.61,51.71,56.56,53.2,55.5,53.88,54.48,55.31,39.62,49.77,42.25,47.49,55.71,30.68,38.44,38.56,34.7,48.6,48.74,46.55,41.7,53.94,42.75,53.06,46.61,49.15,54.38,57.73,42.15,56.12,56.31,55.09,56.03,49.69,51.36,48.37,49.87,51.21,51.23,50.68,47.39,59.08,47.22,55.77,64,27.24,57.38,56.41,55.4,52.63,44.71
Costa Rica,57.36,54.75,54.9,62.43,58.7,53.17,52.64,54.48,49.87,54.68,59.8,55.26,63.86,52.02,69.37,64.46,56.5,53.15,55.27,57.58,55.99,57.28,54.22,59.52,59.18,52.3,56.84,41.42,46.82,56.37,38,56.09,50.35,64.95,46.77,49.51,48.18,68.19,55.72,48.8,42.21,52.48,42.98,52.7,59.62,53.36,52.41,55.93,57.44,47.19,60.16,64.96,60.03,49.87,59.82,51.27,51.94,62.74,59.54,47.22,65.38,64,32.55,56.5,54.24,58.52,58.02,53.14
Germany,62.47,64.76,61.42,61.24,61.95,63.77,66.72,66.61,61.52,73.34,66.13,44.71,60.72,55.39,64.46,64.37,56.5,58.16,57.53,60.64,58.09,57.87,55.93,52.8,60.08,58.64,58.8,67.61,63.52,56.66,59.95,56.09,62.15,64.95,58.99,65.31,67.82,68.19,57.5,56.7,59.95,58.05,46.11,43.89,58.83,58.97,41.3,42.32,52.73,52.28,60.16,51.36,48.37,67.13,59.82,54.69,53.89,47.39,57.49,59.87,63.78,52.33,55.36,60.89,59.65,61.64,59.1,66.83
Dominican Republic,50.52,48.2,49.8,53.55,48.45,52.29,56.93,35.15,48.37,45.15,46.97,58.69,50.99,48.34,59.57,55.28,46.22,46.05,47.74,50.45,50.75,52.97,54.9,50.29,51.74,56.52,52.13,42.8,52.83,55.53,30.68,47.26,38.56,43.35,45.24,47.2,44.09,50.53,51.46,45.78,47.37,49.84,45.54,54.38,48.5,42.15,58.23,55.36,55.4,53.47,54.92,51.36,48.37,41.24,59.82,47.78,49.58,62.74,55.91,34.56,58.97,52.33,27.77,54.75,50.46,49.17,51.55,47.35
Egypt,43.94,49.88,46.86,35.09,55.92,60.85,38.38,44.39,44.18,42.92,50.3,50.03,39.04,45.59,22.57,33.16,56.5,57.35,53.49,49.43,52.15,56.45,55.59,49.45,58.88,57.93,56.84,59.34,29.45,56.51,59.95,38.44,50.35,39.02,49.52,48.36,42.46,41.7,40.33,48.8,49.87,45.43,33.49,59,42.64,58.97,56.64,54.23,46.08,39.88,39.22,51.36,36.7,43.4,42.59,47.15,45.82,32.04,49.46,34.56,26.93,40.67,53.77,45.11,32.1,,51.55,37.34
Spain,60.43,58.98,57.97,64.34,61.37,63.61,50.67,60.25,61.13,62.91,64.13,43.7,66.5,68.71,53.12,69.03,56.5,57.46,57.6,59.62,58.09,57.02,55.59,49.45,59.78,58.64,58.8,65.96,44.15,56.66,59.95,56.09,50.35,60.63,53.18,59.53,60.45,59.36,56.68,59.33,60.89,55.12,43.46,45.78,62.79,53.36,40.25,47.43,53.14,42.95,60.16,64.96,60.03,58.5,59.82,64.91,64.87,55.06,52.22,47.22,50.96,52.33,53.77,60.01,62.35,69.05,61.25,57.88
Ethiopia,32.13,26.69,34.66,35.04,21.91,17.07,21.81,45.97,20.56,28.97,23.03,66.09,30.06,33.93,32.42,43.76,21.69,18.35,34.05,36.18,32.57,43.22,21.75,60.36,32.68,14.26,27.8,40.04,37.47,28.5,38,56.09,50.35,43.35,23.84,33.72,40.82,41.7,19.33,41.96,32.3,26.95,65.19,58.79,35.58,,59.82,59.14,63.89,60.32,33.98,37.76,36.7,41.24,33.98,37.52,36.89,39.72,26.15,47.22,50.16,52.33,54.3,38.1,56.95,,36.46,29.97
France,60.7,61.04,59.97,61.08,61.4,62.8,57.86,62.08,62.45,67.72,63.64,46.08,63.05,58.56,63.47,59.24,56.5,58.16,57.46,58.6,58.09,57.87,55.93,53.64,60.08,58.64,58.8,64.3,52.83,56.66,59.95,60.5,50.35,60.63,47.68,64.15,70.27,59.36,57.5,57.76,62.24,57.47,51.52,39.27,63.79,53.36,39.72,48.75,52.33,50.16,60.16,51.36,60.03,62.81,59.82,56.6,57.04,47.39,54.93,72.53,58.17,40.67,53.77,60.01,54.24,62.03,60.17,59.98
United Kingdom,63.41,62.76,62.57,64.91,61.04,64.47,61.74,63.79,64.04,69.91,68.1,48.23,69.13,60.59,62.7,67.22,56.5,58.04,57.19,58.6,57.74,57.02,55.93,46.09,60.08,58.64,58.8,66.78,57.51,56.66,59.95,60.5,50.35,64.95,58.69,64.92,67.82,59.36,57.5,59.07,62.24,60.69,42.7,40.95,61.34,58.97,40.77,44.78,55.4,57.78,60.16,64.96,60.03,67.13,59.82,57.76,59.09,47.39,61.58,47.22,63.78,52.33,62.25,61.76,61.27,67.1,59.1,67.36
Georgia,48.56,53,52.09,40.58,42.63,56.6,57.45,55.34,60.2,47.95,47.41,52.82,49.4,45.43,39.43,28.06,37.02,32.67,53.43,45.35,52.15,48.16,54.56,22.58,52.04,55.82,56.84,40.04,61.52,47.48,52.63,47.26,62.15,51.99,49.82,47.59,47.37,50.53,57.95,57.23,54.46,59.23,46.21,56.69,35.24,58.97,58.23,56.88,43.63,45.56,49.69,51.36,48.37,47.71,51.21,46.22,46.5,47.39,45.94,47.22,39.75,40.67,60.13,24.07,43.98,40.2,51.55,44.19
Ghana,42.69,40.83,43.88,43.36,42.09,33.54,38.71,48.98,35.02,43.02,35.24,62.24,55.65,36.01,38.93,42.86,56.5,56.18,34.05,40.26,32.22,52.4,45.67,56.16,35.66,50.89,25.05,40.04,44.15,42.22,52.63,47.26,50.35,47.67,44.63,38.73,40.82,59.36,37.34,36.17,42.05,41.03,58.73,57.74,44.02,36.55,56.64,58.77,56.32,60.96,60.16,51.36,60.03,49.87,42.59,39.26,38.47,55.06,30.65,47.22,46.15,64,53.77,38.1,50.46,39.42,41.85,43.13
Indonesia,45.24,45.52,49.3,40.89,46.19,38.4,54.67,42.81,51.29,39.16,50.02,56.74,49.26,41.41,36.92,35.97,52.94,51.41,42.95,47.39,48.3,40.44,48.75,54.48,36.26,45.96,40.75,40.04,58.84,46.79,45.32,38.44,50.35,47.67,50.13,40.27,41.64,41.7,53.43,55.12,49.5,46.9,61.87,45.99,46.47,53.36,58.76,55.74,48.54,53.49,54.92,51.36,48.37,41.24,51.21,43.54,42.78,32.04,47.21,47.22,45.35,52.33,52.18,49.49,30.48,38.64,47.24,61.04
India,39.51,40.24,41.6,36.67,38.48,37.03,49.18,36.26,35.21,35.3,39.16,56.75,50.17,38.65,31.36,26.52,44.14,43.84,44.32,40.26,38.16,42.46,40.89,51.96,37.15,53.71,32.9,42.8,51.5,47.52,52.63,47.26,26.76,39.02,40.65,37.19,41.64,41.7,34.48,49.33,40.08,37.22,64.52,65.71,47.53,47.76,60.88,56.31,49.87,48.59,54.92,51.36,48.37,49.87,42.59,41.52,40.42,32.04,46.24,47.22,37.34,40.67,51.11,25.83,34.26,41.76,42.93,43.66
Israel,54.79,54.19,59.16,51.03,61.7,62.41,43.39,49.25,62.92,61.16,65.35,47.22,54.44,61.53,47.2,40.94,56.5,58.28,57.53,59.62,58.09,57.78,55.93,41.89,60.08,58.64,58.8,56.58,35.47,56.55,52.63,56.09,50.35,39.02,55.94,60.3,61.27,50.53,56.3,55.91,62.12,61.28,42.13,48.51,62.55,58.97,44.48,42.32,54.07,54.66,60.16,51.36,36.7,58.5,59.82,58.85,59.5,32.04,,59.87,47.76,29,52.18,56.5,34.8,50.34,61.25,55.24
Jordan,47.97,52.12,50.76,41.04,55.81,57.61,41.64,53.44,55.38,43.97,52.63,51.05,35.73,49.03,38.31,41.09,56.5,55.6,53.7,49.43,52.15,57.74,55.93,45.25,57.1,54.41,58.01,48.31,33.46,56.44,59.95,56.09,50.35,43.35,54.71,46.82,43.28,41.7,53.43,47.49,57,55.41,33.78,55.64,38.55,,54.53,52.15,37.89,57.52,33.98,37.76,36.7,54.19,42.59,49.21,49.24,39.72,48.95,34.56,46.96,52.33,56.42,54.75,35.34,,51.55,56.82
Japan,61.01,66.04,59.51,57.49,60.51,62.27,72.8,68.58,64.72,65.71,63.14,44.47,66.08,57.73,51.95,54.18,56.5,53.74,57.67,59.62,58.44,56.58,55.93,49.45,59.48,58.64,58.8,60.72,70.87,56.66,59.95,64.91,62.15,60.63,50.74,64.15,63.73,59.36,57.5,59.73,62.69,61.57,62.06,49.76,64.27,58.97,44.48,43.08,52.12,47.06,60.16,64.96,60.03,62.81,51.21,57.76,54.54,55.06,46.4,59.87,47.76,52.33,50.05,57.38,49.92,51.12,62.33,58.4
Kazakhstan,46.85,50.76,42.55,47.23,56.11,57.42,41.85,47.67,56.77,50.15,41.89,21.37,34.17,52.63,54.04,48.08,56.5,58.04,54.52,57.58,49.7,47.59,55.59,30.14,47.57,52.3,57.62,53.83,43.48,46.68,38,56.09,50.35,47.67,66.33,50.67,46.55,41.7,57.95,41.96,58.8,56.58,43.17,29.83,22.19,53.36,43.95,32.87,32.06,10.84,33.98,37.76,36.7,43.4,51.21,51.35,52.83,55.06,44.55,59.87,52.56,64,56.42,53.87,46.68,40.59,46.16,43.66
Kenya,38.98,32.91,45.32,38.72,28.79,31.67,34.71,36.45,42.88,40.77,32.49,65.14,40.21,32.77,34.49,47.41,31.38,34.99,33.37,40.26,33.96,39.81,41.91,59.52,35.96,37.5,32.11,42.8,54.84,26.71,45.32,38.44,38.56,43.35,39.12,44.12,40.82,50.53,50.12,37.09,42.42,47.78,61.87,48.72,45.54,30.94,60.88,58.77,59.69,60.99,44.45,51.36,36.7,41.24,42.59,36.12,36.45,39.72,41.9,47.22,40.55,52.33,42.63,51.24,47.76,42.54,34.31,48.93
"Korea, Republic of",59.86,62.16,58.84,58.57,59.57,61.22,60.08,67.79,64.21,69.88,61.45,39.82,64.77,74.66,46.47,48.37,56.5,57.81,56.92,59.62,57.74,48.79,55.93,43.57,57.99,50.18,58.8,63.48,55.5,56.66,52.63,64.91,62.15,64.95,51.96,65.7,71.09,59.36,56.8,57.89,61.26,63.63,59.4,41.16,60.82,58.97,41.3,39.68,40.97,53.25,60.16,64.96,60.03,58.5,51.21,74.63,64.63,39.72,59.54,59.87,38.94,64,46.34,45.99,48.84,43.32,60.17,54.72
Sri Lanka,45.47,46.31,50.65,39.46,45.19,44.48,48.01,47.55,53.55,34.54,53.75,60.77,35.13,39.25,44.78,38.67,37.71,33.83,55.62,45.35,55.29,51.83,48.41,60.36,38.94,52.3,55.66,40.04,49.49,48.1,52.63,56.09,50.35,34.7,45.24,39.11,42.46,32.87,52.54,51.83,52.41,53.06,61.58,62.14,49.01,58.97,59.29,58.2,62.25,47.35,39.22,37.76,48.37,45.56,25.36,40.59,42.3,32.04,53.6,47.22,52.56,40.67,55.36,50.37,42.36,39.42,53.71,59.98
Morocco,45.27,49.96,45.58,40.27,50.24,44.24,49.23,56.13,32.17,45.92,43.83,60.39,40.31,36.95,47.33,36.5,56.01,54.44,51.17,42.29,47.95,49.93,55.24,46.93,48.17,32.57,47.03,42.8,42.81,56.26,59.95,47.26,62.15,47.67,53.18,52.98,42.46,41.7,30.21,54.07,36.31,33.99,49.91,62.56,46.09,53.36,58.76,56.5,59.18,52.5,39.22,37.76,48.37,45.56,51.21,39.69,39.53,62.74,50.84,34.56,43.75,52.33,46.87,32.84,43.98,40.59,50.47,32.08
